2017-09-13	275.71
2017-09-14	223.85
2017-09-15	260.88
2017-09-16	255.84
2017-09-17	259.66
2017-09-18	298
2017-09-19	282.8
2017-09-20	283.55
2017-09-21	258.11
2017-09-22	263.88
2017-09-23	286.03
2017-09-24	283.21
2017-09-25	294.41
2017-09-26	288.77
2017-09-27	309.85
2017-09-28	302.33
2017-09-29	291.88
2017-09-30	301.57
2017-10-01	303.25
2017-10-02	296.72
2017-10-03	292.36
2017-10-04	292
2017-10-05	294.89
2017-10-06	307.73
2017-10-07	311.12
2017-10-08	309.2
2017-10-09	297
2017-10-10	297.99
2017-10-11	302
2017-10-12	302.12
2017-10-13	335.89
2017-10-14	338.37
2017-10-15	336.89
2017-10-16	334.36
2017-10-17	316.37
2017-10-18	313.59
2017-10-19	308.02
2017-10-20	303.15
2017-10-21	300
2017-10-22	295.14
2017-10-23	285.83
2017-10-24	296.99
2017-10-25	296.76
2017-10-26	295.98
2017-10-27	297.59
2017-10-28	295.11
2017-10-29	303.38
2017-10-30	306.87
2017-10-31	303.51
2017-11-01	290.82
2017-11-02	285.4
2017-11-03	306
2017-11-04	301.66
2017-11-05	296.57
2017-11-06	297.32
2017-11-07	292.42
2017-11-08	307.91
2017-11-09	320.72
2017-11-10	298.04
2017-11-11	315.69
2017-11-12	307.1
2017-11-13	315.56
2017-11-14	335.04
2017-11-15	331.81
2017-11-16	330.21
2017-11-17	332.31
2017-11-18	346.6
2017-11-19	354.59
2017-11-20	368.24
2017-11-21	361.51
2017-11-22	381.73
2017-11-23	406.61
2017-11-24	470.98
2017-11-25	466.77
2017-11-26	473.99
2017-11-27	477.53
2017-11-28	468.52
2017-11-29	434.01
2017-11-30	434
2017-12-01	463.82
2017-12-02	460.34
2017-12-03	464.76
2017-12-04	468.22
2017-12-05	457.3
2017-12-06	432.49
2017-12-07	433.28
2017-12-08	463.45
2017-12-09	485.04
2017-12-10	447.51
2017-12-11	518
2017-12-12	686.82
2017-12-13	711.94
2017-12-14	705.01
2017-12-15	693.5
2017-12-16	703.59
2017-12-17	732.18
2017-12-18	785.65
2017-12-19	826.65
2017-12-20	802.86
2017-12-21	796.98
2017-12-22	682.11
2017-12-23	732.8
2017-12-24	697.04
2017-12-25	740.5
2017-12-26	755.07
2017-12-27	739.99
2017-12-28	719.5
2017-12-29	748.89
2017-12-30	710.58
2017-12-31	741.27
2018-01-01	759.03
2018-01-02	865
2018-01-03	938.31
2018-01-04	949
2018-01-05	969.27
2018-01-06	1006.68
2018-01-07	1118.3
2018-01-08	1137.01
2018-01-09	1290.01
2018-01-10	1246.94
2018-01-11	1137.01
2018-01-12	1260
2018-01-13	1386.02
2018-01-14	1365.46
2018-01-15	1278.63
2018-01-16	1080
2018-01-17	1028.06
2018-01-18	1025.78
2018-01-19	1037.45
2018-01-20	1150.02
2018-01-21	1047.13
2018-01-22	999.68
2018-01-23	984.03
2018-01-24	1056.99
2018-01-25	1040
2018-01-26	1045.57
2018-01-27	1100
2018-01-28	1215.01
2018-01-29	1162.27
2018-01-30	1054.39
2018-01-31	1105.01
2018-02-01	1017.48
2018-02-02	911.99
2018-02-03	969.4
2018-02-04	826
2018-02-05	693.54
2018-02-06	783.83
2018-02-07	750.04
2018-02-08	812
2018-02-09	875.99
2018-02-10	849.47
2018-02-11	811.35
2018-02-12	864.4
2018-02-13	840.49
2018-02-14	920.26
2018-02-15	929.3
2018-02-16	936.02
2018-02-17	974.99
2018-02-18	912.41
2018-02-19	939.01
2018-02-20	884.76
2018-02-21	840.34
2018-02-22	806
2018-02-23	854.01
2018-02-24	833.2
2018-02-25	841.96
2018-02-26	867.09
2018-02-27	871.07
2018-02-28	849.99
2018-03-01	868.74
2018-03-02	854.31
2018-03-03	854.34
2018-03-04	861.74
2018-03-05	848.83
2018-03-06	815.43
2018-03-07	751.38
2018-03-08	698.83
2018-03-09	728.46
2018-03-10	683.6
2018-03-11	719.79
2018-03-12	696.51
2018-03-13	690.39
2018-03-14	614.63
2018-03-15	610.99
2018-03-16	600.51
2018-03-17	549.79
2018-03-18	538
2018-03-19	555.55
2018-03-20	558
2018-03-21	559.98
2018-03-22	539.89
2018-03-23	543.04
2018-03-24	519.57
2018-03-25	522.55
2018-03-26	486.75
2018-03-27	449
2018-03-28	445.47
2018-03-29	383.29
2018-03-30	394.46
2018-03-31	394.54
2018-04-01	378.18
2018-04-02	384
2018-04-03	416.28
2018-04-04	378.43
2018-04-05	381.55
2018-04-06	370.32
2018-04-07	384.61
2018-04-08	399.9
2018-04-09	398.8
2018-04-10	415.45
2018-04-11	430.81
2018-04-12	493.41
2018-04-13	495.76
2018-04-14	502.4
2018-04-15	533.74
2018-04-16	511.28
2018-04-17	502.42
2018-04-18	525.89
2018-04-19	567.29
2018-04-20	617.17
2018-04-21	605.16
2018-04-22	620.07
2018-04-23	642.85
2018-04-24	703.38
2018-04-25	617.49
2018-04-26	661
2018-04-27	643.11
2018-04-28	682
2018-04-29	687.51
2018-04-30	669.81
2018-05-01	670.75
2018-05-02	685.02
2018-05-03	775.51
2018-05-04	783.01
2018-05-05	812
2018-05-06	784.28
2018-05-07	752.42
2018-05-08	746.99
2018-05-09	750
2018-05-10	723.51
2018-05-11	678.05
2018-05-12	684.66
2018-05-13	729.29
2018-05-14	726.9
2018-05-15	706.08
2018-05-16	707.45
2018-05-17	668.56
2018-05-18	694.5
2018-05-19	695.96
2018-05-20	714
2018-05-21	696.77
2018-05-22	640.5
2018-05-23	577.2
2018-05-24	602.64
2018-05-25	584.02
2018-05-26	584.99
2018-05-27	570.75
2018-05-28	511.33
2018-05-29	566.66
2018-05-30	557.22
2018-05-31	577.1
2018-06-01	578.89
2018-06-02	590.46
2018-06-03	618.63
2018-06-04	591.5
2018-06-05	607.6
2018-06-06	606.18
2018-06-07	603.56
