Date, fToken NAV, xToken NAV
2017-01-02, 1.002444987775061124, 1.046454767726161369
2017-01-03, 1.017237163814180929, 1.327506112469437652
2017-01-04, 1.036552567237163814, 1.694498777506112469
2017-01-05, 1.025061124694376528, 1.476161369193154034
2017-01-06, 1.023960880195599022, 1.455256723716381418
2017-01-07, 1.021271393643031784, 1.404156479217603912
2017-01-08, 1.028361858190709046, 1.538875305623471883
2017-01-09, 1.027017114914425427, 1.51332518337408313
2017-01-10, 1.029951100244498777, 1.569070904645476773
2017-01-11, 1.021638141809290953, 1.411124694376528117
2017-01-12, 1.01980440097799511, 1.37628361858190709
2017-01-13, 1.020293398533007334, 1.385574572127139365
2017-01-14, 1.020537897310513447, 1.390220048899755501
2017-01-15, 1.021026894865525672, 1.399511002444987775
2017-01-16, 1.018092909535452322, 1.343765281173594132
2017-01-17, 1.026405867970660146, 1.501711491442542787
2017-01-18, 1.025061124694376528, 1.476161369193154034
2017-01-19, 1.027383863080684596, 1.520293398533007335
2017-01-20, 1.029828850855745721, 1.566748166259168704
2017-01-21, 1.033618581907090464, 1.638753056234718826
2017-01-22, 1.031662591687041564, 1.601589242053789731
2017-01-23, 1.032029339853300733, 1.608557457212713936
2017-01-24, 1.02921760391198044, 1.555134474327628361
2017-01-25, 1.028973105134474327, 1.550488997555012225
2017-01-26, 1.029584352078239608, 1.562102689486552568
2017-01-27, 1.028973105134474327, 1.550488997555012225
2017-01-28, 1.029339853300733496, 1.55745721271393643
2017-01-29, 1.02823960880195599, 1.536552567237163814
2017-01-30, 1.029584352078239608, 1.562102689486552568
2017-01-31, 1.030806845965770171, 1.585330073349633251
2017-02-01, 1.031051344743276283, 1.589975550122249389
2017-02-02, 1.032273838630806845, 1.613202933985330074
2017-02-03, 1.034352078239608801, 1.652689486552567238
2017-02-04, 1.039486552567237163, 1.750244498777506113
2017-02-05, 1.03765281173594132, 1.715403422982885085
2017-02-06, 1.03863080684596577, 1.733985330073349633
2017-02-07, 1.040709046454767726, 1.773471882640586797
2017-02-08, 1.039486552567237163, 1.750244498777506113
2017-02-09, 1.03471882640586797, 1.659657701711491443
2017-02-10, 1.039731051344743276, 1.754889975550122249
2017-02-11, 1.040831295843520782, 1.775794621026894865
2017-02-12, 1.040586797066014669, 1.771149144254278729
2017-02-13, 1.039731051344743276, 1.754889975550122249
2017-02-14, 1.060635696821515892, 2.152078239608801956
2017-02-15, 1.058679706601466992, 2.114914425427872861
2017-02-16, 1.057579462102689486, 2.094009779951100245
2017-02-17, 1.055867970660146699, 2.061491442542787286
2017-02-18, 1.057579462102689486, 2.094009779951100245
2017-02-19, 1.057701711491442542, 2.096332518337408313
2017-02-20, 1.054156479217603911, 2.028973105134474328
2017-02-21, 1.056845965770171149, 2.080073349633251833
2017-02-22, 1.055867970660146699, 2.061491442542787286
2017-02-23, 1.061491442542787286, 2.168337408312958435
2017-02-24, 1.061369193154034229, 2.166014669926650367
2017-02-25, 1.06687041564792176, 2.270537897310513447
2017-02-26, 1.080195599022004889, 2.52371638141809291
2017-02-27, 1.091442542787286063, 2.737408312958435208
2017-02-28, 1.100488997555012224, 2.909290953545232274
2017-03-01, 1.112347188264058679, 3.134596577017114915
2017-03-02, 1.135574572127139364, 3.575916870415647922
2017-03-03, 1.140586797066014669, 3.671149144254278729
2017-03-04, 1.127995110024449877, 3.431907090464547678
2017-03-05, 1.137163814180929095, 3.606112469437652812
2017-03-06, 1.140586797066014669, 3.671149144254278729
